Name,Identifier,E.C.,GPR,Reversible,Flux Lower Bound,Flux Upper Bound,bigg.reaction,kegg.reaction,metanetx.reaction,reactome
"Fatty Acid Intracellular Transport, Mitochondrial",R_TETTET6COAtm,,,TRUE,-1000,1000,TETTET6COAtm,,,
Transport into the Mitochondria (Carnitine),R_TETPENT6CRNt,3.6.1.15,(ENSG00000178537),TRUE,-1000,1000,TETPENT6CRNt,,MNXR104790,
Carnitine Transferase,R_TETPENT6CPT2,,(ENSG00000157184),TRUE,-1000,1000,TETPENT6CPT2,,MNXR104789,
"Fatty Acid Intracellular Transport, Mitochondrial",R_TETPENT6COAtm,,,TRUE,-1000,1000,TETPENT6COAtm,,,
Transport into the Mitochondria (Carnitine),R_TETPENT3CRNt,,(ENSG00000178537),TRUE,-1000,1000,TETPENT3CRNt,,MNXR104786,
Carnitine Transferase,R_TETPENT3CPT2,,(ENSG00000157184),TRUE,-1000,1000,TETPENT3CPT2,,MNXR104785,
"Fatty Acid Intracellular Transport, Mitochondrial",R_TETPENT3COAtm,,,TRUE,-1000,1000,TETPENT3COAtm,,,
Transport of Tetradecenoyl Carnitine into Extra Cellular Space,R_TETDECE1CRNe,,,FALSE,0,1000,TETDECE1CRNe,,,
"Transport of Cis-5, 8-Tetradecadienoic Acid, Diffusion",R_TETDECA511ACtd,,,TRUE,-1000,1000,TETDECA511ACtd,,,
"Transport of Cis-5, 8-Tetradecadienoic Acid, Active Transport",R_TETDECA511ACt,,,FALSE,0,1000,TETDECA511ACt,,,
"Hydrolysis of Tetradecadienoyl Coenzyme A to Cis-5, 8-Tetradecadienoic Acid ",R_TETDECA511ACc,3.1.2.2,,FALSE,0,1000,TETDECA511ACc,,,
Transport of Tetradecadienoyl Carnitine into Extra Cellular Space,R_TETDEC2CRNe,,,FALSE,0,1000,TETDEC2CRNe,,,
R_HMR_8744,R_HMR_8744,,(ENSG00000135778),FALSE,0,1000,TDPm,R00615,MNXR104756,
R_HMR_7697,R_HMR_7697,4.2.1.46,(ENSG00000088451),FALSE,0,1000,TDPGDH,R06513,MNXR104761,
R_HMR_8675,R_HMR_8675,,,FALSE,0,1000,TDPDRR,R02777,MNXR104760,
R_HMR_8674,R_HMR_8674,,,FALSE,0,1000,TDPDRE,R06514,MNXR104759,
Transport of Myristoyl Carnitine into Extra Cellular Space,R_TDCRNe,,,FALSE,0,1000,TDCRNe,,MNXR104751,
Bile Acid Intracellular Transport,R_TDCHOLAtx,,,TRUE,-1000,1000,TDCHOLAtx,,MNXR104750,
Bile Acid Intracellular Transport,R_TDCHOLAte,4.2.1.17,,TRUE,-1000,1000,TDCHOLAte,,MNXR104750,
Taurodeoxycholic acid sulfotransferase,R_TDCASULT,2.8.2.14,(ENSG00000105398),FALSE,0,1000,TDCASULT,,,
Taurodeoxycholic acid 3-sulfate transport via bicarbonate countertransport,R_TDCA3St,,(ENSG00000111700) or (ENSG00000134538),TRUE,-1000,1000,TDCA3St,,,
Taurodeoxycholic acid 3-sulfate ABC bile acid transporter,R_TDCA3Sabc,,(ENSG00000125257) or (ENSG00000108846) or (ENSG00000023839) or (ENSG00000118777),FALSE,0,1000,TDCA3Sabc,,,
"Acyl Coenzyme A Dehydrogenase for Glutaryl Coenzyme A, Forming Trans-Delta-2-Glutaryl Coenzyme A",R_TD2GLTRCOAm,,,FALSE,0,1000,TD2GLTRCOAm,,,
R_HMR_8848,R_HMR_8848,,,FALSE,0,1000,TCYNTtm,,MNXR104749,
Bile Acid Intracellular Transport,R_TCHOLAtx,3.2.1.26,,TRUE,-1000,1000,TCHOLAtx,,MNXR104745,
Bile Acid Intracellular Transport,R_TCHOLAte,6.2.1.5,,TRUE,-1000,1000,TCHOLAte,,MNXR104745,
R_HMR_1870,R_HMR_1870,,(ENSG00000186198) or (ENSG00000125257) or (ENSG00000108846) or (ENSG00000073734) or (ENSG00000121270) or (ENSG00000163959),FALSE,0,1000,TCHOLAt3,,MNXR104744,
R_HMR_1865,R_HMR_1865,,(ENSG00000125255) or (ENSG00000100652),FALSE,0,1000,TCHOLAt2,,MNXR104743,
R_HMR_1878,R_HMR_1878,,(ENSG00000084453) or (ENSG00000111700) or (ENSG00000134538) or (ENSG00000101187),FALSE,0,1000,TCHOLAt,,MNXR104742,
Bile Acid Transport by ABCa8,R_TCHOLABCtc,,(ENSG00000141338),FALSE,0,1000,TCHOLABCtc,,,
Taurochenodeoxycholic acid sulfotransferase,R_TCDCASULT,2.8.2.14,(ENSG00000105398),FALSE,0,1000,TCDCASULT,,,
Taurochenodeoxycholic acid 6alpha-hydroxylase,R_TCDCA6AH,1.14.13.97,(ENSG00000160868),FALSE,0,1000,TCDCA6AH,,,
Taurochenodeoxycholic acid 3-sulfate transport via bicarbonate countertransport,R_TCDCA3St,,(ENSG00000111700) or (ENSG00000134538),TRUE,-1000,1000,TCDCA3St,,,
Taurochenodeoxycholic acid 3-sulfate ABC bile acid transporter,R_TCDCA3Sabc,,(ENSG00000125257) or (ENSG00000108846) or (ENSG00000023839) or (ENSG00000118777),FALSE,0,1000,TCDCA3Sabc,,,
Taurocholic acid sulfotransferase,R_TCASULT,2.8.2.14,(ENSG00000105398),FALSE,0,1000,TCASULT,,,
Taurocholic acid 3-sulfate transport via bicarbonate countertransport,R_TCA3St,,(ENSG00000111700) or (ENSG00000134538),TRUE,-1000,1000,TCA3St,,,
Taurocholic acid 3-sulfate ABC bile acid transporter,R_TCA3Sabc,,(ENSG00000125257) or (ENSG00000108846) or (ENSG00000023839) or (ENSG00000118777),FALSE,0,1000,TCA3Sabc,,,
R_HMR_8048,R_HMR_8048,,,TRUE,-1000,1000,TAXOLte,,MNXR104736,
R_HMR_5452,R_HMR_5452,,(ENSG00000131389),TRUE,-1000,1000,TAURtcx,,MNXR104735,
R_HMR_5451,R_HMR_5451,,(ENSG00000131389),FALSE,0,1000,TAURt4_2_r,,,
Secretion of Taurine,R_TAURCHAe,,,FALSE,0,1000,TAURt,,MNXR104733,
release of taurine conjugate of S-ibuprofen into hepatic vein,R_TAURIBUP_Sthv,,,TRUE,-1000,1000,TAURIBUP_Sthv,,,
Transport of Taurine by Pat1,R_TAUPAT1c,,(ENSG00000123643),FALSE,0,1000,TAUPAT1c,,MNXR104731,
R_HMR_4565,R_HMR_4565,2.2.1.2,(ENSG00000177156),TRUE,-1000,1000,TALA,R08575,MNXR104715,
Triacylglycerol Transport,R_TAGt,3.1.6.2,,TRUE,-1000,1000,TAGt,,MNXR104712,
R_HMR_8760,R_HMR_8760,,,FALSE,0,1000,TAGAT_Dt,,,
efflux of tacrolimus into intestinal lumen by P-gp,R_TACRtu,,(ENSG00000085563),FALSE,0,1000,TACRtu,,,
TACRitr,R_TACRitr,,,TRUE,-1000,1000,TACRitr,,,
uptake of tacrolimus by enterocytes,R_TACRDtsc,,,TRUE,-1000,1000,TACRDtsc,,,
R_HMR_8630,R_HMR_8630,1.14.18.1,(ENSG00000077498),FALSE,0,1000,T4HCINNOX,,MNXR104663,
"Transport of Trans-4-Coumarate, Mitochondrial",R_T4HCINNMtm,,,TRUE,-1000,1000,T4HCINNMtm,,,
"Transport of Trans-4-Coumarate, Extracellular",R_T4HCINNMte,,(ENSG00000168065),TRUE,-1000,1000,T4HCINNMte,,,
4-Hydroxycinnamate Formation,R_T4HCINNMFM,,,FALSE,0,1000,T4HCINNMFM,,MNXR104661,
R_HMR_9566,R_HMR_9566,5.3.3.-;5.3.3.8,(ENSG00000104823) or (ENSG00000113790),FALSE,0,1000,T2M26DCOAHLx,R06412,MNXR104660,
R_HMR_9565,R_HMR_9565,4.2.1.18,(ENSG00000148090),FALSE,0,1000,T2M26DCOAHLm,R06412,MNXR104660,
R_HMR_7432,R_HMR_7432,,,TRUE,-1000,1000,Ser_Thrtg,,MNXR104656,
Ser/Thr Transport (from Golgi to Lysosome),R_Ser_Thrtg,,,TRUE,-1000,1000,Ser_Thrtg,,MNXR104656,
efflux of acetaminophen-sulphate into hepatic vein,R_SULPACMPtev,,(ENSG00000125257) or (ENSG00000108846),FALSE,0,1000,SULPACMPtev,,,
"Transport of Succinic Semialdehyde, Mitochondrial",R_SUCSALtm,,,TRUE,-1000,1000,SUCSALtm,,,
"Transport of Succinic Semialdehyde, Extracellular Space",R_SUCSALte,3.1.2.2,,TRUE,-1000,1000,SUCSALte,,,
R_HMR_4303,R_HMR_4303,3.2.1.10;3.2.1.20;3.2.1.48,(ENSG00000214013) or (ENSG00000171298) or (ENSG00000257335) or (ENSG00000090402),FALSE,0,1000,SUCRe,R00801,MNXR104638,
R_HMR_4152,R_HMR_4152,6.2.1.5,(ENSG00000163541 and ENSG00000136143) or (ENSG00000163541 and ENSG00000172340),TRUE,-1000,1000,SUCOASm,R00405,MNXR104635,
R_HMR_4147,R_HMR_4147,6.2.1.4,(ENSG00000163541 and ENSG00000136143) or (ENSG00000163541 and ENSG00000172340),TRUE,-1000,1000,SUCOAS1m,R00432,MNXR104637,
R_HMR_8743,R_HMR_8743,1.3.5.1,(ENSG00000143252 and ENSG00000073578 and ENSG00000204370 and ENSG00000117118),TRUE,-1000,1000,SUCD1m,R00408,MNXR99636,
R_HMR_4862,R_HMR_4862,,(ENSG00000183048),FALSE,0,1000,SUCCtm,,MNXR104626,
R_HMR_4938,R_HMR_4938,,(ENSG00000158296),FALSE,0,1000,SUCCt4_3,,MNXR104625,
R_HMR_4939,R_HMR_4939,,(ENSG00000007216),FALSE,0,1000,SUCCt4_2,,MNXR104624,
Thioesterification of Succinyl Coenzyme A for Release into Cytosol,R_SUCCOAPET,,(ENSG00000177465) or (ENSG00000101473),FALSE,0,1000,SUCCOAPET,,MNXR104617,
Production of Succinyl Carnitine,R_SUCCCROT,,(ENSG00000005469),TRUE,-1000,1000,SUCCCROT,,MNXR104616,
Activation of Succinate,R_SUCCACT,,,FALSE,0,1000,SUCCACT,,,
Transport of Succinylacetone,R_SUCACETOte,,,FALSE,0,1000,SUCACETOte,,,
"Alternative Route for Formation of Succinylacetone, from Succinyl-Acetoacetate",R_SUCACETOc,,,FALSE,0,1000,SUCACETOc,,,
"Alternative Route for Formation of Succinylacetone, from Fumarylacetoacetate",R_SUCACETATc,,,FALSE,0,1000,SUCACETATc,,,
"Alternative Route for Formation of Succinylacetone, from Maleylacetoacetate",R_SUCACETATALTc,,,FALSE,0,1000,SUCACETATALTc,,,
Transport of Suberyl-Glycine,R_SUBGLYte,,,FALSE,0,1000,SUBGLYte,,,
Formation of Suberyl-Glycine,R_SUBGLYc,2.3.1.13,(ENSG00000149124),FALSE,0,1000,SUBGLYc,,,
Activation of Suberic Acid for Formation of Suberyl Carnitine,R_SUBERICACT,,,FALSE,0,1000,SUBERICACT,,MNXR104610,
Production of Suberyl Carnitine,R_SUBERCROT,,(ENSG00000005469),TRUE,-1000,1000,SUBERCROT,,MNXR96430,
Transport of Suberyl Carnitine into Cytosol,R_SUBERCACT,,(ENSG00000178537),TRUE,-1000,1000,SUBERCACT,,MNXR96431,
Transport of Suberic Acid by Diffusion,R_SUBEACtd,,,TRUE,-1000,1000,SUBEACtd,,,
Transport of Suberic Acid into Cytosol (Diffusion),R_SUBEACtx,,,TRUE,-1000,1000,SUBEACTD,,MNXR104609,
R_HMR_7948,R_HMR_7948,3.1.6.2,(ENSG00000101846),FALSE,0,1000,STS4r,R08942,MNXR104608,
R_HMR_7950,R_HMR_7950,3.1.6.2,(ENSG00000101846),FALSE,0,1000,STS3r,R08941,MNXR104607,
R_HMR_7945,R_HMR_7945,3.1.6.2,(ENSG00000101846),FALSE,0,1000,STS2r,R03980,MNXR104606,
R_HMR_7952,R_HMR_7952,3.1.6.2,(ENSG00000101846),FALSE,0,1000,STS1r,R03404,MNXR104605,
R_HMR_0248,R_HMR_0248,,(ENSG00000163586) or (ENSG00000121769) or (ENSG00000113396) or (ENSG00000167114) or (ENSG00000205186) or (ENSG00000170231) or (ENSG00000164434) or (ENSG00000197416) or (ENSG00000143554) or (ENSG00000130304) or (ENSG00000170323) or (ENSG00000145384) or (ENSG00000135218) or (ENSG00000164687),FALSE,0,1000,STRDNCt,,MNXR104604,
Transport into the Mitochondria (Carnitine),R_STRDNCCRNt,2.4.99.7,(ENSG00000178537),TRUE,-1000,1000,STRDNCCRNt,,MNXR104603,
Transport of Stearidonylcoa into Peroxisomes.,R_STRDNCCOAtxc,,(ENSG00000101986),FALSE,0,1000,STRDNCCOAtxc,,MNXR104601,
Stn_Antigen (Mucin O-Glycan) Export,R_STN_ANTIGENt,,,FALSE,0,1000,STN_ANTIGENt,,,
Transport of O-Octadecanoyl-R-Carnitine,R_STCRNtr,,,TRUE,-1000,1000,STCRNtr,,,
Transport of O-Octadecanoyl-R-Carnitine,R_STCRNte,,(ENSG00000197375),FALSE,0,1000,STCRNte,,,
Fatty Acid Intracellular Transport,R_STCOAtx,2.4.99.7,,TRUE,-1000,1000,STCOAtx,,MNXR104598,
Transport of Stearoyl Coenzyme A from Cytosol to Peroxisomes,R_STCOATxc,,(ENSG00000101986),FALSE,0,1000,STCOATxc,,MNXR104597,
efflux of sulphate-thiomethyl-acetaminophen conjugate into hepatic vein,R_STACMPtev,,,FALSE,0,1000,STACMPtev,,,
sulphation of thiomethyl-acetaminophen conjugate in hepatocytes,R_STACMPhc,,,FALSE,0,1000,STACMPhc,,,
R_HMR_8327,R_HMR_8327,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA56g,R06032,MNXR104590,
R_HMR_8183,R_HMR_8183,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA55g,,MNXR104588,
R_HMR_8171,R_HMR_8171,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA54g,R05958,MNXR104586,
R_HMR_8182,R_HMR_8182,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA53g,R05943,MNXR104584,
R_HMR_8181,R_HMR_8181,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA52g,R05950,MNXR104582,
R_HMR_8180,R_HMR_8180,2.4.99.-,(ENSG00000101638),FALSE,0,1000,ST8SIA51g,R05947,MNXR104580,
"Alpha-N-Acetylneuraminate Alpha-2, 8-Sialyltransferase",R_ST8SIA13e,,(ENSG00000113532),FALSE,0,1000,ST8SIA13e,,,
R_HMR_8179,R_HMR_8179,,(ENSG00000111728),FALSE,0,1000,ST8SIA12,R05940,MNXR104578,
R_HMR_8162,R_HMR_8162,2.4.99.8,(ENSG00000111728),FALSE,0,1000,ST8SIA11,,MNXR104576,
R_HMR_8178,R_HMR_8178,2.4.99.-,(ENSG00000160408),FALSE,0,1000,ST6GALNAC62,R05951,MNXR104574,
R_HMR_8175,R_HMR_8175,2.4.99.-,(ENSG00000160408),FALSE,0,1000,ST6GALNAC61,R05945,MNXR104573,
R_HMR_8168,R_HMR_8168,2.4.99.-;2.4.99.7,(ENSG00000160408) or (ENSG00000136840) or (ENSG00000117069) or (ENSG00000184005),FALSE,0,1000,ST6GALNAC31,,MNXR104571,
R_HMR_8177,R_HMR_8177,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC28,,MNXR104569,
R_HMR_8176,R_HMR_8176,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC27,R05954,MNXR104567,
R_HMR_8170,R_HMR_8170,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC26,,MNXR104565,
R_HMR_8169,R_HMR_8169,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC25,,MNXR104563,
R_HMR_8174,R_HMR_8174,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC24,,MNXR104561,
R_HMR_8172,R_HMR_8172,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC23,,MNXR104559,
R_HMR_8159,R_HMR_8159,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC22,,MNXR104557,
R_HMR_8156,R_HMR_8156,2.4.99.-,(ENSG00000070731),FALSE,0,1000,ST6GALNAC21,,MNXR104555,
R_HMR_8337,R_HMR_8337,2.4.99.10,(ENSG00000064225),FALSE,0,1000,ST3GAL62g,R06037,MNXR104553,
R_HMR_8325,R_HMR_8325,2.4.99.10,(ENSG00000064225),FALSE,0,1000,ST3GAL61g,,MNXR104551,
R_HMR_8318,R_HMR_8318,2.4.99.6,(ENSG00000126091) or (ENSG00000110080),FALSE,0,1000,ST3GAL31g,,MNXR104549,
R_HMR_8189,R_HMR_8189,2.4.99.4,(ENSG00000157350) or (ENSG00000008513) or (ENSG00000110080),FALSE,0,1000,ST3GAL23g,R05949,MNXR104547,
R_HMR_8188,R_HMR_8188,2.4.99.4,(ENSG00000157350) or (ENSG00000008513) or (ENSG00000110080),FALSE,0,1000,ST3GAL22g,R05942,MNXR104545,
R_HMR_8167,R_HMR_8167,2.4.99.4,(ENSG00000157350) or (ENSG00000008513) or (ENSG00000110080),FALSE,0,1000,ST3GAL21g,R05957,MNXR104543,
R_HMR_6243,R_HMR_6243,,(ENSG00000146477) or (ENSG00000175003) or (ENSG00000112499) or (ENSG00000164638),TRUE,-1000,1000,SRTNtu,,MNXR104538,
R_HMR_6244,R_HMR_6244,,(ENSG00000108576),FALSE,0,1000,SRTNt6_2_r,,,
Serotonin Transport by Ent4,R_SRTNENT4tc,,(ENSG00000164638),TRUE,-1000,1000,SRTNENT4tc,,,
"Transport of Squalene, Endoplasmatic Reticulum, within Chylomicron",R_SQLtr,,,FALSE,0,1000,SQLter,,MNXR104530,
"Transport of Squalene, Extracellular Space, within Chylomicron",R_SQLte,,,FALSE,0,1000,SQLte,,,
Squalene Synthase,R_SQLSr,2.5.1.21,(ENSG00000079459),FALSE,0,1000,SQLSr,,MNXR104529,
R_HMR_1470,R_HMR_1470,1.14.13.132,(ENSG00000104549),FALSE,0,1000,SQLEr,R02874,MNXR104447,R-HSA-191299
"Squalene Epoxidase, Endoplasmic Reticular (NADP)",R_SQLEr,1.14.99.7,(ENSG00000104549),FALSE,0,1000,SQLEr,,MNXR104447,
R_HMR_4467,R_HMR_4467,2.6.1.51,(ENSG00000172482),FALSE,0,1000,SPTix,R00585,MNXR104504,
R_HMR_8739,R_HMR_8739,1.1.1.153,(ENSG00000116096),FALSE,0,1000,SPRn,R08208,MNXR104500,
R_HMR_5013,R_HMR_5013,,(ENSG00000175003),TRUE,-1000,1000,SPRMti,,,
Spermine Transport via Proton Antiport,R_SPRMt2r,,,TRUE,-1000,1000,SPRMt2i,,MNXR104501,
R_HMR_4077,R_HMR_4077,2.5.1.16;2.5.1.22,(ENSG00000116649) or (ENSG00000102172),FALSE,0,1000,SPRMS,R02869,MNXR96042,
R_HMR_4165,R_HMR_4165,1.1.1.153,(ENSG00000116096),TRUE,-1000,1000,SPR,R08208,,
R_HMR_8415,R_HMR_8415,1.15.1.1,(ENSG00000142168),FALSE,0,1000,SPODMx,R00275,MNXR104498,
R_HMR_8413,R_HMR_8413,1.15.1.1,(ENSG00000142168),FALSE,0,1000,SPODMn,R00275,MNXR104498,
R_HMR_8410,R_HMR_8410,1.15.1.1,(ENSG00000112096) or (ENSG00000285441),FALSE,0,1000,SPODMm,R00275,MNXR104498,
R_HMR_8409,R_HMR_8409,1.15.1.1,(ENSG00000109610),FALSE,0,1000,SPODMe,R00275,MNXR104498,
R_HMR_3960,R_HMR_3960,1.15.1.1,(ENSG00000112096) or (ENSG00000285441) or (ENSG00000142168) or (ENSG00000109610),FALSE,0,1000,SPODM,R00275,MNXR104498,
R_HMR_4075,R_HMR_4075,2.5.1.16,(ENSG00000116649),FALSE,0,1000,SPMS,R01920,MNXR95860,
R_HMR_7991,R_HMR_7991,,,FALSE,0,1000,SPMDOX,R01914,MNXR104481,
Neutral Sphingomyelinase,R_SPMD3n,,(ENSG00000103056),FALSE,0,1000,SPMD3n,,,
R_HMR_8234,R_HMR_8234,,,TRUE,-1000,1000,SPHS1Ptr,,MNXR104490,
Export Mediated by ATP Binding Cassette (ABC) Transporters,R_SPHS1Pt2e,3.6.3.44,(ENSG00000103222) or (ENSG00000165029),FALSE,0,1000,SPHS1Pt2e,,,
Endocytosis of Sphingomyelin,R_SPHMYLNtl2,,,FALSE,0,1000,SPHMYLNtl2,,,
R_HMR_0796,R_HMR_0796,,,TRUE,-1000,1000,SPHMYLNtl,,MNXR104488,
R_HMR_0771,R_HMR_0771,,,TRUE,-1000,1000,SPHMYLNtg,,MNXR104488,
R_HMR_8241,R_HMR_8241,,,TRUE,-1000,1000,SPHMYLNtg,,MNXR104488,
Vesicle Transport of Sphingomyelin from Golgi to Extracellular,R_SPHMYLNte,,,FALSE,0,1000,SPHMYLNte,,,
Transport of Sphingomyeline,R_SPHMYLN_HsSECt,,,FALSE,0,1000,SPHMYLN_HsSECt,,,
"Extracellular Transport of Sphingomyeline, Active Transport",R_SPHMYLN_HsATPte,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN_HsATPte,,,
Transport of Sphingomyelin (D18:0/25:0),R_SPHMYLN1825_hs_SECt,,,FALSE,0,1000,SPHMYLN1825_hs_SECt,,,
"Transport of Sphingomyelin (D18:0/25:0), Active Transport",R_SPHMYLN1825_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN1825_hs_ATPt,,,
Transport of Sphingomyelin (D18:0/24:0),R_SPHMYLN1824_hs_SECt,,,FALSE,0,1000,SPHMYLN1824_hs_SECt,,,
"Transport of Sphingomyelin (D18:0/24:0), Active Transport",R_SPHMYLN1824_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN1824_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/23:0),R_SPHMYLN18123_hs_SECt,,,FALSE,0,1000,SPHMYLN18123_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/23:0), Active",R_SPHMYLN18123_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18123_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/22:0),R_SPHMYLN18122_hs_SECt,,,FALSE,0,1000,SPHMYLN18122_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/22:0), Active Transport",R_SPHMYLN18122_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18122_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/22:1),R_SPHMYLN181221_hs_SECt,2.3.1.13,,FALSE,0,1000,SPHMYLN181221_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/22:1), Active",R_SPHMYLN181221_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN181221_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/21:0),R_SPHMYLN18121_hs_SECt,,,FALSE,0,1000,SPHMYLN18121_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/21:0), Active",R_SPHMYLN18121_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18121_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/20:0),R_SPHMYLN18120_hs_SECt,,,FALSE,0,1000,SPHMYLN18120_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/20:0), Active",R_SPHMYLN18120_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18120_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/20:1),R_SPHMYLN181201_hs_SECt,,,FALSE,0,1000,SPHMYLN181201_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/20:1), Active",R_SPHMYLN181201_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN181201_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/18:0),R_SPHMYLN18118_hs_SECt,,,FALSE,0,1000,SPHMYLN18118_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/18:0), Active",R_SPHMYLN18118_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18118_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/18:1),R_SPHMYLN181181_hs_SECt,,,FALSE,0,1000,SPHMYLN181181_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/18:1), Active",R_SPHMYLN181181_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN181181_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/17:0),R_SPHMYLN18117_hs_SECt,2.3.1.13,,FALSE,0,1000,SPHMYLN18117_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/17:0), Active",R_SPHMYLN18117_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18117_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/16:0),R_SPHMYLN18116_hs_SECt,,,FALSE,0,1000,SPHMYLN18116_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/16:0), Active Transport",R_SPHMYLN18116_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18116_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/16:1),R_SPHMYLN181161_hs_SECt,,,FALSE,0,1000,SPHMYLN181161_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/16:1), Active Transport",R_SPHMYLN181161_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN181161_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/15:0),R_SPHMYLN18115_hs_SECt,,,FALSE,0,1000,SPHMYLN18115_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/15:0), Active Transport",R_SPHMYLN18115_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18115_hs_ATPt,,,
Transport of Sphingomyelin (D18:1/14:0),R_SPHMYLN18114_hs_SECt,,,FALSE,0,1000,SPHMYLN18114_hs_SECt,,,
"Transport of Sphingomyelin (D18:1/14:0), Active Transport",R_SPHMYLN18114_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN18114_hs_ATPt,,,
Transport of Sphingomyelin (D18:0/24:1),R_SPHMYLN180241_hs_SECt,,,FALSE,0,1000,SPHMYLN180241_hs_SECt,,,
"Transport of Sphingomyelin (D18:0/24:1), Active Transport",R_SPHMYLN180241_hs_ATPt,3.6.3.44,(ENSG00000085563) or (ENSG00000103222),FALSE,0,1000,SPHMYLN180241_hs_ATPt,,,
R_HMR_8245,R_HMR_8245,,,FALSE,0,1000,SPHMDAc,,MNXR104486,
Sphingosine Kinase 2,R_SPHK22n,,(ENSG00000063176),FALSE,0,1000,SPHK22n,,,
Sphingosine Kinase 2,R_SPHK21n,,(ENSG00000063176),FALSE,0,1000,SPHK21n,,,
R_HMR_0773,R_HMR_0773,2.7.1.91,(ENSG00000176170) or (ENSG00000063176) or (ENSG00000105516),FALSE,0,1000,SPHK21c,R01926,MNXR104485 || MNXR107234,
Sphingosine Kinase 1,R_SPHK11,,(ENSG00000176170),FALSE,0,1000,SPHK11,,,
R_HMR_8236,R_HMR_8236,,,TRUE,-1000,1000,SPHINGStr,,MNXR104484,
Sphingosine Intracellular Transport,R_SPHINGStn,,,TRUE,-1000,1000,SPHINGStn,,,
R_HMR_0798,R_HMR_0798,,,TRUE,-1000,1000,SPHINGStl,,MNXR104484,
Sphingosine Intracellular Transport,R_SPHINGStg,,,TRUE,-1000,1000,SPHINGStg,,,
R_HMR_8737,R_HMR_8737,,,TRUE,-1000,1000,SPHGNtr,,MNXR104483,
